id,question,answer,source,category
1,What is the fine for not wearing a helmet while riding a two-wheeler?,The fine for not wearing a helmet while riding a two-wheeler is Rs. 1000 for the first offense and Rs. 2000 for subsequent offenses under Section 129 of the Motor Vehicles Act.,Motor Vehicles Act 1988 - Section 129,Safety Violations
2,What documents are required while driving a vehicle?,While driving you must carry: 1) Valid Driving License 2) Vehicle Registration Certificate (RC) 3) Valid Insurance Certificate 4) Pollution Under Control (PUC) Certificate. Not carrying these can result in a fine of Rs. 500 for each missing document.,Motor Vehicles Act 1988 - Section 130,Documentation
3,What is the penalty for drunk driving in India?,Drunk driving (BAC above 30mg per 100ml of blood) attracts: First offense - Fine up to Rs. 10000 and/or imprisonment up to 6 months. Second offense - Fine up to Rs. 15000 and/or imprisonment up to 2 years.,Motor Vehicles Act 1988 - Section 185,Serious Violations
4,What is the speed limit in residential areas?,The speed limit in residential areas is typically 20-30 km/h. In commercial areas it's 30-40 km/h. On highways it varies from 80-120 km/h depending on the vehicle type and road conditions.,CMVR 1989 - Rule 112,Speed Regulations
5,Can I use mobile phone while driving?,Using mobile phones while driving is prohibited and attracts a fine of Rs. 1000 for first offense and Rs. 2000 for subsequent offenses. Only hands-free devices are permitted.,Motor Vehicles Act 1988 - Section 184,Distracted Driving
6,What is the penalty for jumping a red light?,Jumping a red light attracts a fine of Rs. 1000 for first offense and Rs. 2000 for repeat offenses. It may also lead to suspension of driving license for 3 months.,Motor Vehicles Act 1988 - Section 184,Traffic Signal Violations
7,What is the minimum age for getting a driving license?,The minimum age for a learner's license is 16 years for motorcycles without gear (up to 50cc) and 18 years for motorcycles with gear and cars. For commercial vehicles it's 20 years.,Motor Vehicles Act 1988 - Section 4,Licensing
8,How long is a driving license valid?,A learner's license is valid for 6 months. A permanent driving license is valid for 20 years or until the holder turns 50 years of age whichever is earlier. After 50 it needs renewal every 5 years.,Motor Vehicles Act 1988 - Section 14,Licensing
9,What is the penalty for driving without insurance?,Driving without valid insurance attracts a fine of Rs. 2000 for first offense and Rs. 4000 for subsequent offenses. The vehicle can also be impounded.,Motor Vehicles Act 1988 - Section 196,Insurance
10,What are the rules for vehicle parking?,Vehicles must not be parked: near traffic signals on main roads in no-parking zones blocking emergency exits or on footpaths. Illegal parking attracts fines from Rs. 500 to Rs. 2000.,Motor Vehicles Act 1988 - Section 122,Parking Violations
11,What is the penalty for overloading a vehicle?,Overloading attracts a fine of Rs. 20000 and an additional Rs. 2000 per ton of excess load. The excess load must be offloaded before the vehicle can proceed.,Motor Vehicles Act 1988 - Section 194,Load Violations
12,Can police seize my vehicle?,Police can seize vehicles for: driving without valid documents drunk driving using vehicle in commission of crime repeated traffic violations or if vehicle is not roadworthy.,Motor Vehicles Act 1988 - Section 207,Enforcement
13,What is the procedure for paying traffic fines online?,Traffic fines can be paid online through: 1) Official state transport department websites 2) Parivahan website 3) Various payment apps. You need your challan number or vehicle registration number.,Motor Vehicles Act 1988 - Section 200,Fine Payment
14,What is the penalty for not wearing seatbelt?,Not wearing seatbelt attracts a fine of Rs. 1000. This applies to both driver and front seat passenger. Many states are extending this rule to rear passengers as well.,Motor Vehicles Act 1988 - Section 194B,Safety Violations
15,What are the rules for vehicle modifications?,Major modifications like changing engine color chassis or fuel type require RTO approval. Unauthorized modifications can lead to fines up to Rs. 5000 and cancellation of registration.,Motor Vehicles Act 1988 - Section 52,Vehicle Standards
16,What is the validity of Pollution Under Control certificate?,PUC certificate is valid for 1 year for new vehicles and 6 months for vehicles older than 1 year. Driving without valid PUC attracts a fine of Rs. 10000.,CMVR 1989 - Rule 115,Pollution Control
17,What happens if I cause an accident?,In case of accident: 1) Provide medical help to injured 2) Report to nearest police station within 24 hours 3) Inform insurance company. Hit and run cases attract severe penalties including imprisonment.,Motor Vehicles Act 1988 - Section 134,Accidents
18,Can I drive with a learner's license?,Yes but only with a person holding permanent license for that vehicle class sitting beside you. The vehicle must display 'L' sign. Violation attracts Rs. 500 fine.,Motor Vehicles Act 1988 - Section 12,Licensing
19,What is the penalty for racing on public roads?,Racing or speed trials on public roads attracts imprisonment up to 1 month and/or fine up to Rs. 500 for first offense. Repeat offense can lead to 3 months imprisonment.,Motor Vehicles Act 1988 - Section 189,Dangerous Driving
20,What are the rules for emergency vehicles?,All vehicles must give way to emergency vehicles (ambulance fire police) with sirens on. Not giving way attracts a fine of Rs. 10000 and possible license suspension for 3 months.,Motor Vehicles Act 1988 - Section 194E,Emergency Vehicles
21,What is the penalty for driving a vehicle with tinted glass?,Front and rear windshields must have 70% visual transmission and side windows 50%. Violation attracts Rs. 100 fine for first offense and Rs. 300 for subsequent offenses.,Motor Vehicles Act 1988 - Section 100,Vehicle Standards
22,Can traffic police check my vehicle documents randomly?,Yes traffic police can stop any vehicle and check for valid documents. You must produce documents when asked. Failure to do so attracts fines as per missing documents.,Motor Vehicles Act 1988 - Section 130,Enforcement
23,What is the rule for honking in silence zones?,Honking is prohibited in silence zones (near hospitals schools courts) between 10 PM to 6 AM. Violation attracts a fine of Rs. 1000 for first offense and Rs. 2000 for repeat offense.,Motor Vehicles Act 1988 - Section 194,Noise Pollution
24,What is the penalty for not giving way to pedestrians at zebra crossing?,Vehicles must stop and give way to pedestrians at zebra crossings. Not doing so attracts a fine of Rs. 500 for first offense and license suspension for repeat violations.,Motor Vehicles Act 1988 - Section 184,Pedestrian Safety
25,What are the rules for carrying passengers on two-wheelers?,Only one pillion rider is allowed on two-wheelers. Children below 4 years cannot be carried. Overloading attracts a fine of Rs. 1000 and license disqualification for 3 months.,Motor Vehicles Act 1988 - Section 128,Safety Violations